# slug	file	position	group	deps	description
_preamble	_preamble.md	front	pre	-	Title + intro paragraph
core-usage	core-usage.md	front	usage	-	How the agent should use this document
core-principles	core-principles.md	front	principles	-	General principles (language-agnostic)
backend-general	backend-general.md	body	backend	-	General backend guidelines
backend-csharp	backend-csharp.md	body	backend	-	C#/.NET
backend-rust	backend-rust.md	body	backend	-	Rust
backend-node	backend-node.md	body	backend	-	Node.js / TypeScript backend
shell	shell.md	body	backend	-	Bash / Shell
observability	observability.md	body	observability	-	Logging, actor-centric audit/domain events, current-state-vs-transition-log
testing	testing.md	body	testing	-	Testing philosophy: pyramid shape, real-DB integration tests, smoke-test floor, excluding live-external-dependency tests from the default run
frontend-general	frontend-general.md	body	frontend	-	General frontend guidelines
frontend-react	frontend-react.md	body	frontend	-	React / TypeScript
frontend-angular	frontend-angular.md	body	frontend	-	Angular
frontend-blazor	frontend-blazor.md	body	frontend	-	Blazor
database	database.md	body	database	-	Database core conventions, indexing, time-versioned/bitemporal data
database-sqlite	database-sqlite.md	body	database	database	SQLite
database-duckdb	database-duckdb.md	body	database	database	DuckDB
database-ducklake	database-ducklake.md	body	database	database,database-duckdb	DuckLake
infra	infra.md	body	infra	-	Infra / CI / CD
game-godot	game-godot.md	body	game	-	Game development (Godot / GDScript)
ai-assistants	ai-assistants.md	back	assistants	-	Working with AI Coding Assistants
